epoch,train_loss,val_threshold,val_acc,val_balanced_acc,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_tn,val_fp,val_fn,val_tp
1,0.09017690241336823,0.4,0.711340206185567,0.6788046207935711,0.6382978723404256,0.5454545454545454,0.5882352941176471,0.8059266700150679,0.63906094850379,147,34,50,60
2,0.07024741947650909,0.4,0.7491408934707904,0.6753139126067302,0.9111111111111111,0.37272727272727274,0.5290322580645161,0.7790055248618785,0.738342021949954,177,4,69,41
3,0.07420300543308259,0.45,0.7525773195876289,0.7422651933701657,0.6637931034482759,0.7,0.6814159292035398,0.7836263184329483,0.8027488666633718,142,39,33,77
4,0.06116726636886596,0.5,0.8900343642611683,0.8777247614264189,0.875,0.8272727272727273,0.8504672897196262,0.958312405826218,0.9352178089748461,168,13,19,91
5,0.05838689923286438,0.45,0.8934707903780069,0.8769211451531893,0.898989898989899,0.8090909090909091,0.8516746411483254,0.9287292817679558,0.9264964859267542,171,10,21,89
6,0.05616475589573383,0.5,0.8762886597938144,0.8417127071823205,0.9625,0.7,0.8105263157894737,0.8430436966348569,0.867439948922529,178,3,33,77
7,0.055975480675697326,0.5,0.9003436426116839,0.8824460070316424,0.9175257731958762,0.8090909090909091,0.8599033816425121,0.9029131089904572,0.915322133830483,173,8,21,89
8,0.0548553541302681,0.45,0.9209621993127147,0.9025866398794575,0.9578947368421052,0.8272727272727273,0.8878048780487805,0.9502762430939227,0.9446838027089419,177,4,19,91
9,0.04832294881343842,0.55,0.8934707903780069,0.8590909090909091,1.0,0.7181818181818181,0.8359788359788359,0.8728277247614264,0.8878142852139245,181,0,31,79
10,0.05038715109229088,0.5,0.9106529209621993,0.89251632345555,0.9375,0.8181818181818182,0.8737864077669902,0.9227021597187344,0.9254460239189605,175,6,20,90
11,0.04920522838830948,0.5,0.9243986254295533,0.9089151180311401,0.9489795918367347,0.8454545454545455,0.8942307692307693,0.9525364138623807,0.9430524474592431,176,5,17,93
12,0.04657788075506687,0.5,0.9415807560137457,0.9227272727272727,1.0,0.8454545454545455,0.916256157635468,0.9351582119537921,0.936768262830812,181,0,17,93
13,0.042769841253757476,0.45,0.9106529209621993,0.896082370668006,0.92,0.8363636363636363,0.8761904761904762,0.9027122049221495,0.9211820001220383,173,8,18,92
14,0.04027523070573807,0.55,0.9347079037800687,0.9154193872425916,0.989247311827957,0.8363636363636363,0.9064039408866995,0.8835760924158713,0.9166692879316861,180,1,18,92
15,0.044574179351329804,0.55,0.9278350515463918,0.9045454545454545,1.0,0.8090909090909091,0.8944723618090452,0.8992968357609241,0.9134972784801544,181,0,21,89
16,0.0417086911201477,0.55,0.9278350515463918,0.9098945253641386,0.968421052631579,0.8363636363636363,0.8975609756097561,0.9288799598191864,0.9334652020024559,178,3,18,92
17,0.044268609136343,0.5,0.8762886597938144,0.8720241084881968,0.8245614035087719,0.8545454545454545,0.8392857142857143,0.944650929181316,0.9338743533168055,161,20,16,94
